name,cat,hold_days,signals,wins,losses,wr,avg,med,max_g,max_l,avg_w,avg_l,pl,stop_cnt,tp_cnt,exp_cnt,composite
N22_d15_p4_v1.3,N22-V型反转,3,84,47,37,55.952380952380956,1.3838884045858653,0.7553366174055665,25.370370370370352,-12.384937238493709,5.386067256123252,-3.6999604068264897,1.455709430345759,17,27,40,50.71822092908324
N22_d12_p4_v1.2,N22-V型反转,3,37,22,15,59.45945945945946,2.424194332453792,1.317715959004384,25.370370370370352,-12.384937238493709,6.4081201146905755,-3.418896814826824,1.8743239301345114,5,11,21,51.079886851625375
N22_d15_p6_v1.5,N22-V型反转,3,65,38,27,58.46153846153847,1.3726215152246806,1.0999999999999899,15.282623866015355,-12.384937238493709,5.012115724553373,-3.7496295942008864,1.3366962252231598,10,22,33,51.81680260604728
N36_cd2_p4_v1.3,N36-连续下跌反弹,3,667,311,356,46.62668665667166,0.516918953493331,-0.5921539600296066,37.271214642262905,-16.579770594369137,5.4247858478053805,-3.7705715075489405,1.4387171379576253,158,313,196,49.550797645048625
N36_cd1_p4_v1.3,N36-连续下跌反弹,3,893,425,468,47.59238521836507,0.7207900730942771,-0.3316749585406398,37.271214642262905,-17.350157728706616,5.685485983510238,-3.787747879740728,1.5010201745263496,205,422,266,50.98451576077401
N36_cd2_p5_v1.5,N36-连续下跌反弹,3,511,241,270,47.162426614481404,0.4053901097364241,-0.4509582863585049,37.271214642262905,-16.579770594369137,5.190022210552522,-3.865337061732762,1.3427088317689757,94,263,154,49.234270818295286
N36_cd2_p3_v1.3,N36-连续下跌反弹,3,793,365,428,46.02774274905423,0.4180232776906964,-0.6842619745845546,37.271214642262905,-16.579770594369137,5.208263784424029,-3.6671117338926353,1.4202631832260706,220,347,226,49.58083036694235
S1_箱体_a20_v1.3,S1-箱体突破,4,803,341,462,42.465753424657535,0.6446572953391174,-0.8602150537634357,44.143646408839764,-16.843702579666154,7.235119231662733,-4.219731276709265,1.7145924129332242,230,467,106,47.11998080263973
S1_箱体_a20_v1.5,S1-箱体突破,4,752,325,427,43.21808510638298,0.6563822354713391,-0.818181818181829,44.143646408839764,-16.843702579666154,7.063268612599931,-4.220053531664003,1.6737391029764555,214,438,100,47.476214721843405
S1_箱体_a15_v1.5,S1-箱体突破,4,394,163,231,41.370558375634516,0.5878162688703662,-0.9768009768009733,42.63322884012539,-14.406318082788673,7.144793693641671,-4.038968667223673,1.7689648725482428,90,252,52,44.50538341438445
S2_底部_d20_p5_v2.0,S2-底部放量反转,4,330,160,170,48.484848484848484,0.8018832523569127,0.0,45.18716577540105,-15.02311248073961,5.644675407970885,-3.756038776456231,1.5028267129064508,80,198,52,49.02576497790773
