name,cat,hold_days,signals,wins,losses,wr,avg,med,max_g,max_l,avg_w,avg_l,pl
S2_d15_p3_v1.3,S2-底部放量反转,2,242,125,117,51.652892561983464,0.34955068787075616,0.23622047244096223,19.23743500866553,-12.69315673289183,3.7159562153527363,-3.247036414139907,1.1444147035650167
S2_d15_p3_v1.5,S2-底部放量反转,2,210,111,99,52.85714285714286,0.4056922470740419,0.3827751196172402,19.23743500866553,-12.69315673289183,3.859268365170583,-3.4664991580645057,1.113304284581271
S2_d15_p3_v1.8,S2-底部放量反转,2,171,94,77,54.97076023391813,0.5442457746439999,0.6933333333333236,19.23743500866553,-12.69315673289183,3.821687441381293,-3.456786909424904,1.1055606091776993
S2_d15_p3_v2.0,S2-底部放量反转,2,142,76,66,53.52112676056338,0.5002101427179991,0.6403415154749181,19.23743500866553,-12.384937238493709,3.9217067308758358,-3.439695019403145,1.1401321072809325
S2_d15_p3_v2.5,S2-底部放量反转,2,105,55,50,52.38095238095239,0.4571456733180291,0.29239766081872176,19.23743500866553,-12.384937238493709,3.931424246386146,-3.3645607570569003,1.1684806815095534
S2_d15_p4_v1.3,S2-底部放量反转,2,207,108,99,52.17391304347826,0.3751070129336484,0.29999999999998916,19.23743500866553,-12.69315673289183,3.8398240076092214,-3.4045842539851603,1.1278393252023653
S2_d15_p4_v1.5,S2-底部放量反转,2,187,100,87,53.475935828877006,0.393168781956541,0.6403415154749181,19.23743500866553,-12.69315673289183,3.865834966567218,-3.5984015451821705,1.0743200607344972
S2_d15_p4_v1.8,S2-底部放量反转,2,158,86,72,54.43037974683544,0.48506911895934823,0.6964285714285756,19.23743500866553,-12.69315673289183,3.81971080489238,-3.4979751170162174,1.0919776948415243
S2_d15_p4_v2.0,S2-底部放量反转,2,132,70,62,53.03030303030303,0.44514054408980774,0.6403415154749181,19.23743500866553,-12.384937238493709,3.913714849998747,-3.4709917367751224,1.1275494575607823
S2_d15_p4_v2.5,S2-底部放量反转,2,98,50,48,51.02040816326531,0.3332856339795306,0.2336448598130758,19.23743500866553,-12.384937238493709,3.8817562809391934,-3.3630379566034523,1.154240996096169
