name,cat,hold_days,signals,wins,losses,wr,avg,avg_w,avg_l,pl
S2_d20_p4_v1.8,S2-底部放量反转,2,401,208,193,51.87032418952619,0.5730406632122087,4.304960543174543,-3.448924803275694,1.2482036543927575
S2_d20_p4_v2.0,S2-底部放量反转,2,351,180,171,51.28205128205128,0.6019694804578154,4.391511829992987,-3.387022466421312,1.2965700326850818
S2_d20_p4_v2.5,S2-底部放量反转,2,258,127,131,49.224806201550386,0.6256794726015092,4.7552072104170735,-3.3777558152044205,1.407800761977014
S2_d20_p5_v1.3,S2-底部放量反转,2,475,240,235,50.526315789473685,0.6898468567670479,4.763576591120264,-3.4705579783170863,1.3725679331339617
S2_d20_p5_v1.5,S2-底部放量反转,2,427,216,211,50.585480093676814,0.5974715748582728,4.630132036859854,-3.5307495615983187,1.311373677481634
S2_d20_p5_v1.8,S2-底部放量反转,2,372,190,182,51.075268817204304,0.5334920336529649,4.447049175100241,-3.552089597528255,1.251952985137185
S2_d20_p5_v2.0,S2-底部放量反转,2,330,165,165,50.0,0.5634325106062985,4.5612667820532495,-3.434401760840652,1.3281110072971691
S2_d20_p5_v2.5,S2-底部放量反转,2,248,121,127,48.79032258064516,0.6082728851607898,4.838453811131203,-3.4220569734409443,1.413902178918443
S2_d25_p2_v1.3,S2-底部放量反转,2,1383,656,727,47.43311641359364,0.3926381158512303,4.482380621481265,-3.2976934985824666,1.3592471900157013
S2_d25_p2_v1.5,S2-底部放量反转,2,1176,553,623,47.023809523809526,0.3355572101332884,4.516475165612803,-3.3755946829327934,1.337979108821438
S2_d25_p2_v1.8,S2-底部放量反转,2,959,450,509,46.92387904066736,0.3037276298769481,4.490909703737665,-3.3981032802160223,1.3215930574812227
S2_d25_p2_v2.0,S2-底部放量反转,2,832,386,446,46.394230769230774,0.32376099365550454,4.586644087787085,-3.365640069875416,1.362785084727395
S2_d25_p2_v2.5,S2-底部放量反转,2,599,272,327,45.40901502504174,0.3116779442385437,4.710085631812852,-3.346936401389013,1.4072826809192185
S2_d25_p3_v1.3,S2-底部放量反转,2,1137,534,603,46.965699208443276,0.35616322594024635,4.57823840645447,-3.382788923967864,1.3533916863735014
S2_d25_p3_v1.5,S2-底部放量反转,2,988,461,527,46.65991902834008,0.2941113647154906,4.5788170971611555,-3.4539898547483596,1.3256602623966727
S2_d25_p3_v1.8,S2-底部放量反转,2,827,387,440,46.7956469165659,0.2909545071552068,4.553588304662032,-3.4582256738337516,1.3167412234303302
S2_d25_p3_v2.0,S2-底部放量反转,2,723,333,390,46.058091286307054,0.30675634664697754,4.6537269159834,-3.404887754863356,1.3667783642313232
S2_d25_p3_v2.5,S2-底部放量反转,2,529,239,290,45.17958412098299,0.29097544268575865,4.76771990982241,-3.3984794802303093,1.4028979540871935
S2_d25_p4_v1.3,S2-底部放量反转,2,961,461,500,47.97086368366285,0.46822294627394445,4.736070602335896,-3.4667325926151698,1.3661482320340104
S2_d25_p4_v1.5,S2-底部放量反转,2,850,404,446,47.529411764705884,0.37505586996063045,4.680763984149308,-3.5251819733851684,1.327807761269826
S2_d25_p4_v1.8,S2-底部放量反转,2,725,342,383,47.172413793103445,0.31920228708595855,4.587929812987392,-3.492559628993131,1.313629629942795
S2_d25_p4_v2.0,S2-底部放量反转,2,644,297,347,46.11801242236025,0.2906152693916747,4.655766220765145,-3.445551395040373,1.3512398124337341
S2_d25_p4_v2.5,S2-底部放量反转,2,477,210,267,44.0251572327044,0.23975662876146128,4.893964341647584,-3.4208561791264995,1.4306255759916913
