name,cat,hold_days,signals,wins,losses,wr,avg,med,max_g,max_l,avg_w,avg_l,pl,composite,wilson_lower
N22_d20_p6_v1.2,N22-V型反转,4,140,88,52,62.857142857142854,2.5354094972488994,1.329144514258096,41.2987012987013,-16.48535564853556,6.562048029614647,-4.278901865216211,1.5335822686092544,55.836118497675216,54.60990905516259
N22_d20_p6_v1.3,N22-V型反转,4,134,85,49,63.43283582089553,2.6338160244933033,1.329144514258096,41.2987012987013,-16.48535564853556,6.62105746189419,-4.2828272852837435,1.5459548146255764,56.13509874094946,55.009523375714096
N22_d20_p6_v1.5,N22-V型反转,4,117,74,43,63.24786324786324,2.0121344746841334,1.0909090909090757,39.03192584963953,-16.48535564853556,5.622756177686421,-4.201493572343065,1.3382755634089318,55.68371405959631,54.220088257700716
N22_d20_p6_v1.8,N22-V型反转,4,91,55,36,60.43956043956044,1.8271644400165998,0.5918827508455404,39.03192584963953,-16.48535564853556,5.760527565425492,-4.182140334913652,1.3774113501966998,53.12260889385482,50.16642594838488
N22_d20_p6_v2.0,N22-V型反转,4,78,46,32,58.97435897435898,1.6252549947315535,0.5181347150259086,39.03192584963953,-16.48535564853556,5.643153866035088,-4.150474632767273,1.359640611096228,51.73260934039751,47.88794806670461
N22_d20_p6_v2.5,N22-V型反转,4,56,31,25,55.35714285714286,1.6224222995554884,0.4545454545454408,39.03192584963953,-16.48535564853556,6.4057361600412595,-4.3088868874468655,1.4866336312292558,48.41990416958963,42.41298613178389
N1_d40_15_d60_20_p3_v1.8,N1-双底放量反转,4,144,83,61,57.638888888888886,1.7115800540108421,0.8460236886632888,32.87671232876712,-16.48535564853556,5.961325654345189,-4.070860680870319,1.4643895042536075,52.25024673977812,49.472676416117146
N1_d40_12_d60_18_p2_v2.0,N1-双底放量反转,4,43,24,19,55.81395348837209,1.0724322595289666,0.8460236886632888,32.87671232876712,-16.48535564853556,5.567770830336524,-4.6058901457016335,1.2088370877739125,48.120543377022685,41.10735806551171
N1_d40_15_d60_25_p3_v1.5,N1-双底放量反转,4,182,103,79,56.59340659340659,1.526427935930129,0.8460236886632888,32.87671232876712,-16.48535564853556,5.737537591505769,-3.9640061719722848,1.447408844131811,52.0750910434363,49.32981586173573
N1_d40_12_d60_20_p2_v1.8,N1-双底放量反转,4,48,28,20,58.333333333333336,1.4368642759031032,1.1608623548922115,32.87671232876712,-16.48535564853556,5.710988357289949,-4.54690943803848,1.2560154177501386,50.14153321380379,44.281082215364655
N2_y0.5_t1.8_p1,N2-缩量回踩反击,4,83,40,43,48.19277108433735,1.097305390251964,-0.663530229692566,43.96946564885496,-29.759654334323514,11.23578595976701,-8.333839325575987,1.3482124529669233,44.33227602798004,37.763004143826876
N2_y0.6_t1.5_p2,N2-缩量回踩反击,4,157,77,80,49.044585987261144,-0.36351601077545714,0.0,43.96946564885496,-29.759654334323514,8.04183415600672,-8.4536655463033,0.9512836901293463,46.439592097659826,41.341498429158406
N2_y0.4_t2.0_p1,N2-缩量回踩反击,4,40,18,22,45.0,0.5414893563995702,-0.959367945823919,43.96946564885496,-29.759654334323514,13.31019449859185,-9.90563303266684,1.3436995348704552,40.381877481392614,30.705075280944694
M2_d15_p5_v1.8,M2-主升底部反转,4,146,85,61,58.21917808219178,1.8632393089326822,0.8460236886632888,32.87671232876712,-16.48535564853556,6.094381945923128,-4.032615185234336,1.5112728752889875,52.68921317025177,50.10865952596069
M2_d20_p4_v1.8,M2-主升底部反转,4,353,201,152,56.94050991501416,1.730049128349453,0.794117647058834,45.18716577540105,-17.030567685589524,6.193264308090508,-4.171965681702865,1.4844955065791943,53.89615535884903,51.72761073323916
M2_d18_p4_v1.5,M2-主升底部反转,4,324,183,141,56.481481481481474,1.6878096362509893,0.794117647058834,45.18716577540105,-16.48535564853556,6.244835478565116,-4.226628159092877,1.4774981956078643,53.37040978987459,51.03821085707245
N5_v1.5_p3,N5-均线粘合突破,4,1281,672,609,52.459016393442624,1.2386529052148196,0.45614035087719884,45.18716577540105,-20.31590413943355,6.899747701809317,-5.008072387579102,1.377725233948675,53.83698419903493,49.72094513253445
N5_v1.8_p2,N5-均线粘合突破,4,1085,564,521,51.98156682027649,1.2005427696786108,0.42253521126760507,45.18716577540105,-20.31590413943355,6.84562553196497,-4.91044893460067,1.394093620183767,53.105932624333676,49.00698759517971
N5_v1.3_p2,N5-均线粘合突破,4,1704,887,817,52.05399061032864,1.1986997942894717,0.4265691651432091,45.18716577540105,-20.31590413943355,6.903699816216336,-4.995100719112151,1.3820942167995818,54.235454227688464,49.67998147991114
N24_y0.7_vb1.5_p2,N24-涨停缩量再放,4,820,429,391,52.31707317073171,1.2668596218061694,0.49207217058502284,43.96946564885496,-29.759654334323514,8.26190378504762,-6.408009805382011,1.289308855006518,52.671739138965556,48.89559966130793
N24_y0.6_vb1.8_p2,N24-涨停缩量再放,4,416,217,199,52.16346153846154,1.122155453223803,0.45431600201917277,43.96946564885496,-29.759654334323514,8.727257895893347,-7.170845702853044,1.2170472295089347,50.943961993680965,47.36529161232532
N24_y0.8_vb1.3_p1,N24-涨停缩量再放,4,1430,729,701,50.97902097902099,1.1735709155231842,0.16694490818029983,43.96946564885496,-29.759654334323514,8.119628671958525,-6.049932799799736,1.342102291157234,53.06396371239978,48.38882595700228
N11_d5_b20_p2,N11-地量倍量,4,256,131,125,51.171875,1.1771660909522925,0.39630118890356947,43.96946564885496,-29.759654334323514,8.885039519538239,-6.9006852622057915,1.2875590150735483,49.092227797635594,45.0766406732958
N11_d4_b25_p1,N11-地量倍量,4,100,52,48,52.0,2.296370859632238,0.9283819628647327,43.96946564885496,-29.759654334323514,12.49866141127019,-8.756110571308872,1.4274216056869504,47.438141782670115,42.31640509017654
N11_d6_b18_p3,N11-地量倍量,4,508,266,242,52.362204724409445,1.3464343759626045,0.5339028296849957,43.96946564885496,-29.759654334323514,8.481082883888238,-6.4957825790300365,1.3056291186942175,51.55990265539917,48.01757673901868
N9_g20_v1.3,N9-跳空不补,4,540,261,279,48.333333333333336,1.1149983090628086,-0.1620089104900857,45.75539568345324,-27.07828894269573,9.282572329096238,-6.5256354516136295,1.4224779177330364,48.88551973761014,44.14509795383813
N9_g30_v1.5,N9-跳空不补,4,297,136,161,45.79124579124579,1.0272248097645154,-0.7814026176987676,45.75539568345324,-24.74849094567404,9.782848209157354,-6.368829738790929,1.5360511444626166,45.679805639722126,40.21467241517218
N15_v1.8_p1,N15-均线金叉,4,281,140,141,49.8220640569395,0.7000754650385602,0.0,32.87671232876712,-21.023081721771685,6.598012597151565,-5.15603232571194,1.2796685862981898,48.36938718576367,44.01786725654848
